Date,Sales
2022-01-01,23
2022-01-02,15
2022-01-03,21
2022-01-04,25
2022-01-05,15
2022-01-06,17
2022-01-07,19
2022-01-08,21
2022-01-09,17
2022-01-10,19
2022-01-11,16
2022-01-12,21
2022-01-13,21
2022-01-14,17
2022-01-15,22
2022-01-16,14
2022-01-17,17
2022-01-18,17
2022-01-19,21
2022-01-20,21
2022-01-21,13
2022-01-22,18
2022-01-23,25
2022-01-24,17
2022-01-25,24
2022-01-26,23
2022-01-27,24
2022-01-28,18
2022-01-29,26
2022-01-30,18
2022-01-31,17
2022-02-01,23
2022-02-02,26
2022-02-03,14
2022-02-04,24
2022-02-05,24
2022-02-06,20
2022-02-07,17
2022-02-08,27
2022-02-09,19
2022-02-10,16
2022-02-11,17
2022-02-12,28
2022-02-13,24
2022-02-14,27
2022-02-15,17
2022-02-16,16
2022-02-17,19
2022-02-18,14
2022-02-19,29
2022-02-20,20
2022-02-21,32
2022-02-22,20
2022-02-23,17
2022-02-24,21
2022-02-25,10
2022-02-26,27
2022-02-27,14
2022-02-28,22
2022-03-01,16
2022-03-02,18
2022-03-03,22
2022-03-04,13
2022-03-05,17
2022-03-06,22
2022-03-07,20
2022-03-08,22
2022-03-09,23
2022-03-10,29
2022-03-11,18
2022-03-12,17
2022-03-13,25
2022-03-14,20
2022-03-15,27
2022-03-16,18
2022-03-17,26
2022-03-18,22
2022-03-19,21
2022-03-20,13
2022-03-21,21
2022-03-22,22
2022-03-23,23
2022-03-24,18
2022-03-25,22
2022-03-26,22
2022-03-27,13
2022-03-28,17
2022-03-29,27
2022-03-30,24
2022-03-31,21
2022-04-01,15
2022-04-02,17
2022-04-03,22
2022-04-04,27
2022-04-05,17
2022-04-06,25
2022-04-07,15
2022-04-08,29
2022-04-09,21
2022-04-10,14
2022-04-11,26
2022-04-12,23
2022-04-13,18
2022-04-14,20
2022-04-15,24
2022-04-16,23
2022-04-17,26
2022-04-18,18
2022-04-19,21
2022-04-20,19
2022-04-21,17
2022-04-22,7
2022-04-23,25
2022-04-24,14
2022-04-25,24
2022-04-26,22
2022-04-27,20
2022-04-28,20
2022-04-29,24
2022-04-30,19
2022-05-01,25
2022-05-02,19
2022-05-03,15
2022-05-04,21
2022-05-05,22
2022-05-06,30
2022-05-07,21
2022-05-08,19
2022-05-09,18
2022-05-10,10
2022-05-11,25
2022-05-12,20
2022-05-13,20
2022-05-14,15
2022-05-15,19
2022-05-16,22
2022-05-17,18
2022-05-18,20
2022-05-19,22
2022-05-20,12
2022-05-21,29
2022-05-22,18
2022-05-23,19
2022-05-24,29
2022-05-25,15
2022-05-26,13
2022-05-27,13
2022-05-28,12
2022-05-29,25
2022-05-30,25
2022-05-31,14
2022-06-01,23
2022-06-02,17
2022-06-03,23
2022-06-04,18
2022-06-05,18
2022-06-06,26
2022-06-07,23
2022-06-08,20
2022-06-09,18
2022-06-10,27
2022-06-11,30
2022-06-12,22
2022-06-13,17
2022-06-14,22
2022-06-15,24
2022-06-16,13
2022-06-17,11
2022-06-18,19
2022-06-19,18
2022-06-20,22
2022-06-21,12
2022-06-22,23
2022-06-23,18
2022-06-24,18
2022-06-25,24
2022-06-26,19
2022-06-27,13
2022-06-28,11
2022-06-29,14
2022-06-30,23
2022-07-01,32
2022-07-02,17
2022-07-03,12
2022-07-04,22
2022-07-05,19
2022-07-06,21
2022-07-07,9
2022-07-08,19
2022-07-09,17
2022-07-10,19
2022-07-11,21
2022-07-12,23
2022-07-13,17
2022-07-14,22
2022-07-15,27
2022-07-16,30
2022-07-17,21
2022-07-18,28
2022-07-19,9
2022-07-20,18
2022-07-21,21
2022-07-22,25
2022-07-23,19
2022-07-24,25
2022-07-25,19
2022-07-26,30
2022-07-27,16
2022-07-28,22
2022-07-29,14
2022-07-30,20
2022-07-31,20
2022-08-01,21
2022-08-02,26
2022-08-03,14
2022-08-04,24
2022-08-05,23
2022-08-06,14
2022-08-07,18
2022-08-08,18
2022-08-09,27
2022-08-10,20
2022-08-11,19
2022-08-12,20
2022-08-13,20
2022-08-14,22
2022-08-15,12
2022-08-16,14
2022-08-17,14
2022-08-18,15
2022-08-19,27
2022-08-20,22
2022-08-21,15
2022-08-22,15
2022-08-23,15
2022-08-24,14
2022-08-25,16
2022-08-26,20
2022-08-27,22
2022-08-28,11
2022-08-29,24
2022-08-30,15
2022-08-31,18
2022-09-01,22
2022-09-02,19
2022-09-03,20
2022-09-04,13
2022-09-05,20
2022-09-06,17
2022-09-07,16
2022-09-08,14
2022-09-09,21
2022-09-10,24
2022-09-11,13
2022-09-12,21
2022-09-13,19
2022-09-14,17
2022-09-15,22
2022-09-16,21
2022-09-17,13
2022-09-18,16
2022-09-19,15
2022-09-20,12
2022-09-21,13
2022-09-22,25
2022-09-23,15
2022-09-24,28
2022-09-25,21
2022-09-26,24
2022-09-27,18
2022-09-28,20
2022-09-29,14
2022-09-30,17
2022-10-01,15
2022-10-02,20
2022-10-03,18
2022-10-04,17
2022-10-05,16
2022-10-06,24
2022-10-07,20
2022-10-08,18
